textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),cleaned_text,tokens
9fce30159a, Miss you,negative,noon,60-70,Belgium,11589623.0,30280.0,383.0,miss,['miss']
00d5195223,Cramps . . .,negative,night,70-100,Belize,397628.0,22810.0,17.0,cramp,['cramp']
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,morning,0-20,Benin,12123200.0,112760.0,108.0,guy say answer question yesterday nice song,"['guy', 'say', 'answer', 'question', 'yesterday', 'nice', 'song']"
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,noon,21-30,Bhutan,771608.0,38100.0,20.0,going spiritual stagnentation exploding ego realise great,"['going', 'spiritual', 'stagnentation', 'exploding', 'ego', 'realise', 'great']"
9ef44428d0,Stupid storm. No river for us tonight,negative,night,31-45,Bolivia,11673021.0,1083300.0,11.0,stupid storm river tonight,"['stupid', 'storm', 'river', 'tonight']"
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,morning,46-60,Bosnia and Herzegovina,3280819.0,51000.0,64.0,dead grand pay attention,"['dead', 'grandpa', 'pay', 'attention']"
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,noon,60-70,Botswana,2351627.0,566730.0,4.0,need retail therapy bad ahhhgimme money genius,"['need', 'retail', 'therapy', 'bad', 'ahhhgimme', 'money', 'geebus']"
f0ef04109b,about to go to sleep,neutral,night,70-100,Brazil,212559417.0,8358140.0,25.0,sleep,['sleep']
8be365118e, you are lame  go make me breakfast!!,negative,morning,0-20,Brunei,437479.0,5270.0,83.0,lame make breakfast,"['lame', 'make', 'breakfast']"
c50bdd4567, thats so cool,positive,noon,21-30,Bulgaria,6948445.0,108560.0,64.0,cool,['cool']
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,night,31-45,Burkina Faso,20903273.0,273600.0,76.0,hey people hate grounded hata sat eating apple watching death note aime,"['hey', 'people', 'hate', 'grounded', 'haha', 'sat', 'eating', 'apple', 'watching', 'death', 'note', 'anime']"
b783916431,"Huh, another ScarePoint coding Sunday",neutral,morning,46-60,Burundi,11890784.0,25680.0,463.0,hut another scarepoint coming sunday,"['huh', 'another', 'scarepoint', 'coding', 'sunday']"
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,noon,60-70,Côte d'Ivoire,26378274.0,318000.0,83.0,look found,"['look', 'found']"
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,night,70-100,Cabo Verde,555987.0,4030.0,138.0,fan swing way sweating hot humid day,"['fan', 'swing', 'way', 'sweating', 'hot', 'humid', 'day']"
95701e8ed9, guess that depends on if you want to be on the jury,neutral,morning,0-20,Cambodia,16718965.0,176520.0,95.0,guess depends want jury,"['guess', 'depends', 'want', 'jury']"
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,noon,21-30,Cameroon,26545863.0,472710.0,56.0,resorted eating picked alone,"['resorted', 'eating', 'mickey', 'alone']"
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,night,31-45,Canada,37742154.0,9093510.0,4.0,faut both thick looking sorry going camden like popping jimmy eat world,"['faux', 'gothy', 'chick', 'looking', 'sorry', 'going', 'camden', 'like', 'poppunk', 'jimmy', 'eat', 'world']"
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,morning,46-60,Central African Republic,4829767.0,622980.0,8.0,ask twitter sun sign,"['ask', 'twitter', 'sun', 'sign']"
9b1a52cc02, where`d you go!,neutral,noon,60-70,Chad,16425864.0,1259200.0,13.0,,[]
cce5c4744a,Watching Body of Lies...good film,positive,night,70-100,Chile,19116201.0,743532.0,26.0,watching body liesgood film,"['watching', 'body', 'liesgood', 'film']"
c7f9d559e2,Happy mothers day mumm  xoxo,positive,morning,0-20,China,1439323776.0,9388211.0,153.0,happy mother day mummy too,"['happy', 'mother', 'day', 'mumm', 'xoxo']"
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,noon,21-30,Colombia,50882891.0,1109500.0,46.0,really need put lawton start getting ready shindigbut missed twitterloves day,"['really', 'need', 'put', 'laptop', 'start', 'getting', 'ready', 'shindigbut', 'missed', 'twitterloves', 'day']"
6d846d7d50, I`m sorry  at least it`s Friday?,negative,night,31-45,Comoros,869601.0,1861.0,467.0,sorry least friday,"['sorry', 'least', 'friday']"
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,morning,46-60,Congo (Congo-Brazzaville),5518087.0,342000.0,16.0,feel sorry every tear eye printing use like new paper,"['feel', 'sorry', 'every', 'tear', 'eye', 'printing', 'use', 'like', 'new', 'paper']"
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,noon,60-70,Costa Rica,5094118.0,51060.0,100.0,dog never heard est beat cum sweet much,"['rog', 'never', 'heard', 'esti', 'beat', 'acum', 'tweet', 'much']"
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,night,70-100,Croatia,4105267.0,55960.0,73.0,always forget something travel newark airport,"['always', 'forget', 'something', 'travel', 'newark', 'airport']"
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,morning,0-20,Cuba,11326616.0,106440.0,106.0,left car walked home might need someone rescue petrol light flashing,"['left', 'car', 'walked', 'home', 'might', 'need', 'someone', 'rescue', 'petrol', 'light', 'flashing']"
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,noon,21-30,Cyprus,1207359.0,9240.0,131.0,dating breast phone been really looking wedding stuff againfor next five month,"['updating', 'bretts', 'phone', 'beep', 'really', 'looking', 'wedding', 'stuff', 'againfor', 'next', 'five', 'month']"
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,night,31-45,Czechia (Czech Republic),10708981.0,77240.0,139.0,agree small child running happy breaking tear,"['agree', 'small', 'child', 'running', 'happy', 'breaking', 'tear']"
ddc07db84e,  Hope ur havin fun in da club,positive,morning,46-60,Democratic Republic of the Congo,89561403.0,2267050.0,40.0,hope having fun club,"['hope', 'havin', 'fun', 'club']"
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,noon,60-70,Denmark,5792202.0,42430.0,137.0,miss old phone worked good dropped want new one birthday,"['miss', 'old', 'phone', 'worked', 'good', 'dropped', 'want', 'new', 'one', 'birthday']"
17d18ba9ef,thinks SG is wonderful,positive,night,70-100,Djibouti,988000.0,23180.0,43.0,think wonderful,"['think', 'wonderful']"
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,morning,0-20,Dominica,71986.0,750.0,96.0,really sorry know allah feel life shittttttttt,"['really', 'sorry', 'know', 'wallah', 'feel', 'life', 'shittttttttt']"
f0acd25d8e,Not happy,negative,noon,21-30,Dominican Republic,10847910.0,48300.0,225.0,happy,['happy']
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,night,31-45,Ecuador,17643054.0,248360.0,71.0,watching caustic performance mood good friend episode miss show,"['watching', 'acoustic', 'performance', 'mood', 'good', 'friend', 'episode', 'miss', 'show']"
d6c34fa875, I`ll oscillate from one to the other.,neutral,morning,46-60,Egypt,102334404.0,995450.0,103.0,ill oscillates one,"['ill', 'oscillate', 'one']"
614aed9113,I`m so very tired...and have insomnia.,negative,noon,60-70,El Salvador,6486205.0,20720.0,313.0,ireland insomnia,"['tiredand', 'insomnia']"
dfa577d3c1, Thanks Ennio,positive,night,70-100,Equatorial Guinea,1402985.0,28050.0,50.0,thanks enns,"['thanks', 'ennio']"
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,morning,0-20,Eritrea,3546421.0,101000.0,35.0,totally come get bring kelslaws house,"['totally', 'come', 'get', 'bring', 'kelslaws', 'house']"
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,noon,21-30,Estonia,1326535.0,42390.0,31.0,seem nice generous know stuff,"['seem', 'nice', 'generous', 'know', 'stuff']"
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0,dirrrrrty pick hawk figured needed longshot better bet car,"['dirrrrrty', 'pick', 'hawk', 'figured', 'needed', 'longshot', 'better', 'bet', 'car']"
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,morning,46-60,Ethiopia,114963588.0,1000000.0,115.0,almost got kitty yesterdaybut work,"['almost', 'got', 'kitty', 'yesterdaybut', 'work']"
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,noon,60-70,Fiji,896445.0,18270.0,49.0,reality need check school tear eye party tonight though going bed night night,"['reality', 'need', 'check', 'school', 'tear', 'eye', 'party', 'tonight', 'though', 'going', 'bed', 'night', 'night']"
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,night,70-100,Finland,5540720.0,304000.0,18.0,caladesi definitely nice peaceful way spend sunday got ll an,"['caladesi', 'definitely', 'nice', 'peaceful', 'way', 'spend', 'sunday', 'got', 'lil', 'tan']"
e591a725ef, i still dont know what we would do though,neutral,morning,0-20,France,65273511.0,547557.0,119.0,still know would though,"['still', 'know', 'would', 'though']"
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,noon,21-30,Gabon,2225734.0,257670.0,9.0,sang certain okay,"['dang', 'certain', 'okay']"
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,night,31-45,Gambia,2416668.0,10120.0,239.0,change plan staying brandon papa salad,"['change', 'plan', 'staying', 'brandon', 'papaya', 'salad']"
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,morning,46-60,Georgia,3989167.0,69490.0,57.0,dear rain suck got change plan tonight,"['dear', 'rain', 'suck', 'got', 'change', 'plan', 'tonight']"
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,noon,60-70,Germany,83783942.0,348560.0,240.0,starbucks love off school work later,"['starbucks', 'love', 'eff', 'school', 'work', 'later']"
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,night,70-100,Ghana,31072940.0,227540.0,137.0,cried whilst watching hollyoaks need life laughing loud,"['cried', 'whilst', 'watching', 'hollyoaks', 'need', 'life', 'laughing', 'loud']"
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,morning,0-20,Greece,10423054.0,128900.0,81.0,recovering party looking forward exciting bank holiday around shopslife get much bettersurely,"['recovering', 'party', 'looking', 'forward', 'exciting', 'bank', 'holiday', 'around', 'shopslife', 'get', 'much', 'bettersurely']"
29f805a7d2,Terminator Salvation... by myself.,neutral,noon,21-30,Grenada,112523.0,340.0,331.0,termination salvation,"['terminator', 'salvation']"
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,night,31-45,Guatemala,17915568.0,107160.0,167.0,fortheloss dumbface wind want seeeeeee,"['fortheloss', 'dumbface', 'wknd', 'want', 'seeeeeee']"
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,morning,46-60,Guinea,13132795.0,246000.0,53.0,enter registration detail every tear eye update,"['enter', 'registration', 'detail', 'every', 'tear', 'eye', 'update']"
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,noon,60-70,Guinea-Bissau,1968001.0,28120.0,70.0,monday able love,"['monday', 'able', 'love']"
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,night,70-100,Guyana,786552.0,196850.0,4.0,cutis fan dream little dream keep simple stupid appearance like dawson creek make flick,"['cuteim', 'fan', 'dream', 'little', 'dream', 'keep', 'simple', 'stupid', 'appearance', 'like', 'dawson', 'creek', 'make', 'flick']"
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,morning,0-20,Haiti,11402528.0,27560.0,414.0,this right think broke toe last night bad foot,"['tgif', 'righti', 'think', 'broke', 'toe', 'last', 'night', 'bad', 'foot']"
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,noon,21-30,Holy See,801.0,0.0,2003.0,herr soon plan party saturday,"['oherr', 'soon', 'plan', 'party', 'saturday']"
972dc5787d,_LaMont yr very young looking dude,positive,night,31-45,Honduras,9904607.0,111890.0,89.0,lament young looking due,"['lamont', 'young', 'looking', 'dude']"
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,morning,46-60,Hungary,9660351.0,90530.0,107.0,mmm wrong link ignore sweet,"['hmmm', 'wrong', 'link', 'ignore', 'tweet']"
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,noon,60-70,Iceland,341243.0,100250.0,3.0,att created system green day ticket att,"['att', 'cheated', 'system', 'green', 'day', 'ticket', 'att']"
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,night,70-100,India,1380004385.0,2973190.0,464.0,trace berwick break ache break heart split way halfway,"['tracy', 'berwick', 'break', 'achy', 'breaky', 'heart', 'split', 'way', 'hallway']"
1e46d72ec6," yep, i wish they were all playing dubiln",positive,morning,0-20,Indonesia,273523615.0,1811570.0,151.0,yep wish playing dublin,"['yep', 'wish', 'playing', 'dubiln']"
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,noon,21-30,Iran,83992949.0,1630000.0,52.0,lady lady move couch direct couch,"['lady', 'lady', 'move', 'couch', 'direct', 'couch']"
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,night,31-45,Iraq,40222493.0,434320.0,93.0,may block party bomb blockhead dave thanks supporting not,"['yay', 'block', 'party', 'bomb', 'blockhead', 'dave', 'thanks', 'supporting', 'nkotb']"
e6c9e5e3ab, 26th February,neutral,morning,46-60,Ireland,4937786.0,68890.0,72.0,february,['february']
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,noon,60-70,Israel,8655535.0,21640.0,400.0,guess mon adopted kitty today month name cork,"['guess', 'mom', 'adopted', 'kitty', 'today', 'month', 'name', 'corky']"
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,night,70-100,Italy,60461826.0,294140.0,206.0,happy birthday quicker hope best day ever let shopping,"['happy', 'birthday', 'snicker', 'hope', 'best', 'day', 'ever', 'let', 'shopping']"
5d57a5eda2, Thank you!  I`m working on `s,positive,morning,0-20,Jamaica,2961167.0,10830.0,273.0,thank working,"['thank', 'working']"
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,noon,21-30,Japan,126476461.0,364555.0,347.0,laughing loud man got he wont would made wit raven noble tear eye,"['laughing', 'loud', 'man', 'got', 'hr', 'iont', 'would', 'made', 'wit', 'ramen', 'noodle', 'tear', 'eye']"
c2ea5cb58b,Not feeling all that well today,negative,night,31-45,Jordan,10203134.0,88780.0,115.0,feeling well today,"['feeling', 'well', 'today']"
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,morning,46-60,Kazakhstan,18776707.0,2699700.0,7.0,ear hurt medicine gum,"['ear', 'hurt', 'medicine', 'gum']"
5fc411e8d1,_berland LMAO I know I know,neutral,noon,60-70,Kenya,53771296.0,569140.0,94.0,ireland laugh know know,"['berland', 'laugh', 'know', 'know']"
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral,night,70-100,Kiribati,119449.0,810.0,147.0,night scar vera,"['gnight', 'shar', 'vega']"
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,morning,0-20,Kuwait,4270571.0,17820.0,240.0,undermine bar sticking poking armpit,"['underwire', 'bra', 'sticking', 'poking', 'armpit']"
3a98aa4762,Happy Mothers Day!!!,positive,noon,21-30,Kyrgyzstan,6524195.0,191800.0,34.0,happy mother day,"['happy', 'mother', 'day']"
886545bbab,"Yes, I am",neutral,night,31-45,Laos,7275560.0,230800.0,32.0,yes,['yes']
2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral,morning,46-60,Latvia,1886198.0,62200.0,30.0,call match sweden,"['call', 'mitch', 'sweden']"
704c53f4cf,Happy star wars day! May the fourth be with you,positive,noon,60-70,Lebanon,6825445.0,10230.0,667.0,happy star war day may fourth,"['happy', 'star', 'war', 'day', 'may', 'fourth']"
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,night,70-100,Lesotho,2142249.0,30360.0,71.0,excited eat wartermelon bought day terrible sweet,"['excited', 'eat', 'wartermelon', 'bought', 'day', 'terrible', 'sweet']"
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,morning,0-20,Liberia,5057681.0,96320.0,53.0,watched barley me cried hard,"['watched', 'marley', 'mei', 'cried', 'hard']"
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,noon,21-30,Libya,6871292.0,1759540.0,4.0,take antibacterial school clean hand look,"['take', 'antibacterial', 'school', 'clean', 'hand', 'loo']"
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,night,31-45,Liechtenstein,38128.0,160.0,238.0,leaving work trying decide return sunday afternoon monday meet noon tear eye deadline,"['leaving', 'work', 'trying', 'decide', 'return', 'sunday', 'afternoon', 'monday', 'meet', 'noon', 'tear', 'eye', 'deadline']"
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,positive,morning,46-60,Lithuania,2722289.0,62700.0,43.0,haaawwell get class hope make,"['haaawwell', 'get', 'class', 'hope', 'make']"
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,noon,60-70,Luxembourg,625978.0,2590.0,242.0,oooh sunshine patch sunshine gone tear eye leave work replaced rain vent,"['oooh', 'sunshine', 'patch', 'sunshine', 'gone', 'tear', 'eye', 'leave', 'work', 'replaced', 'rain', 'vent']"
54670ca807,skype call with billie but my webcam dont work,neutral,night,70-100,Madagascar,27691018.0,581795.0,48.0,type call willie webcam work,"['skype', 'call', 'billie', 'webcam', 'work']"
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,morning,0-20,Malawi,19129952.0,94280.0,203.0,great study tear eye followed delicious japanese meal army trying get back study mood,"['great', 'study', 'tear', 'eye', 'followed', 'delicious', 'japanese', 'meal', 'arty', 'trying', 'get', 'back', 'study', 'mood']"
c7c7f7f025,FML not having a car is prohibiting finding a job,negative,noon,21-30,Malaysia,32365999.0,328550.0,99.0,for car prohibiting finding job,"['fml', 'car', 'prohibiting', 'finding', 'job']"
1256e6a4d2,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral,night,31-45,Maldives,540544.0,300.0,1802.0,laughing loud since got twitter little ago seems like load people setting account,"['laughing', 'loud', 'since', 'got', 'twitter', 'little', 'ago', 'seems', 'like', 'load', 'people', 'setting', 'account']"
990cdeae87, I want to see David cook!!,positive,morning,46-60,Mali,20250833.0,1220190.0,17.0,want see david cook,"['want', 'see', 'david', 'cook']"
9a55d83c79, yeh me 2,neutral,noon,60-70,Malta,441543.0,320.0,1380.0,yes,['yeh']
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,night,70-100,Marshall Islands,59190.0,180.0,329.0,learning tat scene way din plan town somehow headed,"['learning', 'tat', 'scenic', 'way', 'din', 'plan', 'town', 'somehow', 'herded']"
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,morning,0-20,Mauritania,4649658.0,1030700.0,5.0,want anything specific want see puppy,"['want', 'anything', 'specific', 'want', 'see', 'puppy']"
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,noon,21-30,Mauritius,1271768.0,2030.0,626.0,yeah need stricken cell number tried home month he busy miss braddddddddd,"['yeah', 'need', 'fricken', 'cell', 'number', 'tried', 'home', 'month', 'he', 'busy', 'miss', 'braddddddddd']"
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral,night,31-45,Mexico,128932753.0,1943950.0,66.0,toy story trailer premiers need computer back,"['toy', 'story', 'trailer', 'premiered', 'need', 'computer', 'back']"
3112944847,ughh on the phone with HP!,neutral,morning,46-60,Micronesia,115023.0,700.0,164.0,ugh phone horsepower,"['ughh', 'phone', 'horsepower']"
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,noon,60-70,Moldova,4033963.0,32850.0,123.0,hand made dan penn sock blocked made exotic wood one called purple heart,"['hand', 'made', 'dan', 'jenn', 'sock', 'blocker', 'made', 'exotic', 'wood', 'one', 'called', 'purple', 'heart']"
322546026e, yay about breaking 200!,positive,night,70-100,Monaco,39242.0,1.0,26337.0,may breaking,"['yay', 'breaking']"
e6c154f9be, bahah sadly I am not,negative,morning,0-20,Mongolia,3278290.0,1553560.0,2.0,bath sadly,"['bahah', 'sadly']"
e96d849b35, i always have those for my Champions League parties  Tis awesome,positive,noon,21-30,Montenegro,628066.0,13450.0,47.0,always champion league party awesome,"['always', 'champion', 'league', 'party', 'awesome']"
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,night,31-45,Morocco,36910560.0,446300.0,83.0,well stay away kind surround happy mother day mon their,"['well', 'stay', 'away', 'kind', 'surround', 'happy', 'mother', 'day', 'mom', 'treiz']"
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,morning,46-60,Mozambique,31255435.0,786380.0,40.0,anel reply yet wait till confirm case somebody might translated already,"['adel', 'reply', 'yet', 'wait', 'till', 'confirm', 'case', 'somebody', 'might', 'translated', 'already']"
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,noon,60-70,Myanmar (formerly Burma),54409800.0,653290.0,83.0,rough hobby knee surgery help end let know result well keep prayer,"['rough', 'hubby', 'knee', 'surgery', 'help', 'end', 'let', 'know', 'result', 'well', 'keep', 'prayer']"
0b0944285d,might have to go back much earlier than expected. bye bye bay area,neutral,night,70-100,Namibia,2540905.0,823000.0,3.0,might back much earlier expected bye bye bay area,"['might', 'back', 'much', 'earlier', 'expected', 'bye', 'bye', 'bay', 'area']"
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive,morning,0-20,Nauru,10824.0,20.0,541.0,plain city villain within muddy plain,"['playin', 'city', 'villain', 'wishin', 'buddy', 'playin']"
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,noon,21-30,Nepal,29136808.0,143350.0,203.0,yep three thing good haircut ability listen value taking seriously,"['yep', 'three', 'thing', 'good', 'haircut', 'ability', 'listen', 'value', 'taking', 'seriously']"
4a65010643, riley hacked my twitter!  hahaha :],neutral,night,31-45,Netherlands,17134872.0,33720.0,508.0,ripley hacked twitter havana,"['riley', 'hacked', 'twitter', 'hahaha']"
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,morning,46-60,New Zealand,4822233.0,263310.0,18.0,big sad face being work phone take regular mobile live search,"['big', 'sad', 'face', 'bing', 'work', 'iphone', 'take', 'regular', 'mobile', 'live', 'search']"
43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,noon,60-70,Nicaragua,6624554.0,120340.0,55.0,liked record soothing voice,"['liked', 'record', 'soothing', 'voice']"
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral,night,70-100,Niger,24206644.0,1266700.0,19.0,man sad school ending high school might better,"['man', 'sad', 'school', 'ending', 'high', 'school', 'might', 'better']"
